#   a      e        i        q        r        M      m_rand H_rand color Comments
#
  42.481  0.342    0.092   27.952   28.113  354.349   23.650   9.13  0.00 resonant  
  42.287  0.118    1.413   37.297   37.338    6.387   24.073   8.31  0.00 resonant  
  42.413  0.161    5.858   35.585   43.518   90.241   22.846   6.44  0.00 resonant  
  42.146  0.056    2.367   39.786   40.137   30.051   23.976   7.91  0.00 resonant  
  42.364  0.073    5.426   39.271   44.328  126.273   24.324   7.81 -0.80 resonant  
  42.422  0.258   28.101   31.477   39.330   59.397   24.139   8.17  0.00 resonant  
  55.350  0.418    0.850   32.214   33.927   13.140   23.750   8.37 -0.70 resonant  
  55.374  0.329   11.966   37.156   41.830   29.361   24.022   7.77  0.00 resonant  
  55.315  0.301    2.981   38.665   38.718    3.151   23.491   7.59  0.00 resonant  
  36.399  0.126    3.875   31.813   38.789  115.278   23.974   8.05  0.00 resonant  
  36.417  0.093    7.310   33.030   35.025  299.168   23.266   7.78  0.00 resonant  
  36.462  0.144    8.266   31.211   32.272   32.133   23.311   8.19  0.00 resonant  
  36.631  0.087    6.115   33.444   34.053  327.022   23.929   8.62  0.00 resonant  
  36.522  0.160    5.109   30.678   31.857  328.503   23.151   8.05  0.00 resonant  
  36.515  0.228    2.739   28.190   29.515   25.676   23.313   8.54  0.00 resonant  
  36.509  0.020    3.591   35.779   36.658  100.469   23.970   8.29  0.00 resonant  
  36.690  0.127    2.105   32.030   32.087    7.929   23.658   8.54  0.00 resonant  
  36.508  0.118   23.651   32.200   33.737   44.832   23.126   7.85  0.00 resonant  
  36.557  0.191    5.318   29.575   43.085  155.391   23.478   7.11  0.00 resonant  
  39.347  0.195   20.770   31.674   33.364  328.267   22.990   7.71  0.00 resonant  
  39.257  0.183    2.949   32.073   33.845   34.207   23.493   8.19  0.00 resonant  
  39.587  0.202   24.152   31.590   32.659  335.844   23.475   8.32  0.00 resonant  
  39.258  0.186   24.961   31.956   33.662  326.846   23.616   8.33  0.00 resonant  
  39.405  0.268   17.847   28.844   34.040  313.743   23.977   8.68  0.00 resonant  
  39.483  0.153   13.651   33.442   34.272  334.069   23.490   8.10  0.00 resonant  
  39.274  0.294    6.619   27.727   30.580   30.058   23.070   8.14  0.00 resonant  
  39.608  0.169   21.496   32.914   33.691   23.334   23.910   8.56 -0.70 resonant  
  39.555  0.172    1.656   32.752   33.203  342.471   22.505   7.29  0.00 resonant  
  39.649  0.248   26.242   29.816   30.227  347.488   22.567   7.69  0.00 resonant  
