# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  34.976  0.112    4.377   31.059   38.753  162.785   23.752   7.84  0.00  4   37.783   23.643   7.73 0.69  4.84460  23.0789  3.29115 -0.44530 L3w-sm resonant  
  42.232  0.130    9.111   36.742   42.136  278.418   23.876   7.64  0.00  4   41.148   23.741   7.50 0.69  2.72788  15.6264  2.95881 -0.84015 L4v-sm resonant  
  42.128  0.202   13.293   33.618   41.496  285.788   23.818   7.62  0.00  1   40.490   24.413   8.21 0.33 18.91733 -23.3244  2.98124 -0.41715 L4m-sm resonant  
  42.481  0.342    0.092   27.952   28.113  354.352   23.416   8.89  0.00  4   27.147   23.476   8.95 0.72  8.82089  17.8680  4.08663  1.13831 L7a-sm resonant  
  42.188  0.410    3.599   24.891   27.539   19.640   22.649   8.21  0.00  4   26.575   22.559   8.12 0.86  8.60276  20.0908  4.21830  1.04945 L7a-sm resonant  
  42.413  0.161    5.858   35.585   43.518   90.240   22.961   6.55  0.00  4   42.525   22.876   6.47 0.86 23.74030  -1.2465  2.65628 -1.20968 L3s-sm resonant  
  42.273  0.221    7.848   32.931   36.034  321.349   24.092   8.53  0.00  4   35.050   24.302   8.74 0.55  9.31263  16.1957  3.39350  0.97143 L5c-sm resonant  
  42.495  0.199   13.527   34.038   40.614  293.977   24.026   7.86  0.00  4   39.688   24.515   8.35 0.58  4.10932  21.7679  2.89486 -0.71676 L3w-sm resonant  
  42.364  0.073    5.426   39.271   44.328  126.272   24.209   7.69 -0.80  1   43.342   24.887   8.37 0.21 21.92278 -12.3356  2.62815 -0.89688 presur resonant  
  42.422  0.258   28.101   31.477   39.331   59.398   24.569   8.60  0.00  2   38.353   24.467   8.50 0.14  9.08772  17.5183  3.10601  1.22902 L5c-sm resonant  
  55.350  0.418    0.850   32.214   33.927   13.139   23.111   7.73 -0.70  4   32.972   23.833   8.45 0.78 13.06744  -5.8760  3.10182  1.26019 L3h-sm resonant  
  55.500  0.285    6.120   39.683   42.048  336.837   23.582   7.34  0.00  4   41.038   23.447   7.20 0.49 19.70207 -21.4985  2.86113 -0.56324 L4n-sm resonant  
  55.279  0.377   30.330   34.439   34.463    1.667   23.629   8.19  0.00  4   33.515   23.506   8.07 0.73  4.41865  21.8387  3.42570 -1.01072 L3w-sm resonant  
