# Seed:  123456789
#
# Creation time: 2020-04-24T09:18:37.000  +0200
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
#
#   a      e        i        q        r        M       node     peri  m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    Surv. Comments
  34.976  0.112    4.377   31.059   38.753  162.785  261.891    6.291  23.72   7.81  0.00  4   37.783   23.643   7.73 0.70  4.84460  23.0789 L3w-smooth resonant  
  42.232  0.130    9.111   36.742   42.136  278.418   44.709   95.173  23.89   7.65  0.00  4   41.148   23.741   7.50 0.69  2.72788  15.6264 L4v-smooth resonant  
  42.128  0.202   13.293   33.618   41.496  285.788  100.408  279.527  23.82   7.62  0.00  1   40.490   24.413   8.21 0.33 18.91733 -23.3244 L4m-smooth resonant  
  42.481  0.342    0.092   27.952   28.113  354.352   61.203   80.460  23.42   8.89  0.00  4   27.147   23.476   8.95 0.72  8.82089  17.8680 L7a-smooth resonant  
  42.188  0.410    3.599   24.891   27.539   19.640  328.430  109.390  22.66   8.22  0.00  4   26.575   22.559   8.12 0.86  8.60276  20.0908 L7a-smooth resonant  
  42.413  0.161    5.858   35.585   43.518   90.240  179.961   67.759  22.97   6.57  0.00  4   42.525   22.876   6.47 0.86 23.74030  -1.2465 L3s-smooth resonant  
  42.273  0.221    7.848   32.931   36.034  321.349  320.752  234.768  24.09   8.53  0.00  4   35.050   24.302   8.74 0.55  9.31263  16.1957 L5c-smooth resonant  
  42.495  0.199   13.527   34.038   40.614  293.977  247.823  264.952  24.03   7.86  0.00  4   39.688   24.515   8.35 0.58  4.10932  21.7679 L3w-smooth resonant  
  42.364  0.073    5.426   39.271   44.328  126.272  323.419  230.338  24.26   7.74 -0.80  1   43.342   24.887   8.37 0.16 21.92278 -12.3356 presurvey- resonant  
  42.422  0.258   28.101   31.477   39.331   59.398  132.317  273.210  24.45   8.49  0.00  2   38.353   24.467   8.50 0.25  9.08772  17.5183 L5c-smooth resonant  
  55.350  0.418    0.850   32.214   33.927   13.139  102.968   60.566  23.11   7.73 -0.70  4   32.972   23.833   8.45 0.78 13.06744  -5.8760 L3h-smooth resonant  
  55.500  0.285    6.120   39.683   42.048  336.837  112.610  222.942  23.52   7.27  0.00  4   41.038   23.447   7.20 0.52 19.70207 -21.4985 L4n-smooth resonant  
  55.279  0.377   30.330   34.439   34.463    1.667  248.823  175.665  23.66   8.22  0.00  4   33.515   23.506   8.07 0.72  4.41865  21.8387 L3w-smooth resonant  
  55.431  0.437    7.292   31.208   45.546   43.055  237.391  259.912  23.77   7.14  0.00  4   44.564   24.057   7.42 0.70 15.08693 -18.4901 L4k-smooth resonant  
  55.315  0.301    2.981   38.665   38.718    3.150  340.774  204.531  23.95   8.05  0.00  1   37.731   23.581   7.68 0.17 12.67135  -6.0307 L3f-smooth resonant  
  36.428  0.152    6.096   30.891   41.592  155.798  336.084  188.384  23.78   7.53 -0.80  3   40.606   24.771   8.53 0.68 21.95489 -13.5959 presurvey- resonant  
  36.417  0.093    7.310   33.030   35.025  299.169   59.341  254.467  23.11   7.62  0.00  4   34.035   23.035   7.55 0.70 16.08908 -21.3369 L5i-smooth resonant  
  36.631  0.087    6.115   33.444   34.053  327.023  334.136  203.639  24.27   8.97  0.00  4   33.067   24.104   8.80 0.43  9.45416  16.7508 L5c-smooth resonant  
