# Table 3  from Crompvoets et al. (2022) https	//ui.adsabs.harvard.edu/abs/2022PSJ.....3..113C/abstract
# Populations for all Distant Resonances Beyond the 2	1
# P(q) ~ exp(-(q-q_c)**2/(2*q_w**2))
# P(i) ~ sin(i)*exp(-i**2/(2*(simga_i**2)))
# if ( n	1 ) then 
#     phi_0 = 90 or phi_0 = 	
# res_amp = 95, phi_0 = 180
# Population is for N(H_r < 8.66)
j	k	a	ND	q_c	q_w	sigma_i	MedianPop
2	1	47.7	0	38.2	3	11	8500
3	1	62.5	12	36	3	20	17000
4	1	75.7	5	38	3	20	13000
5	1	87.9	3	38	4	25	11000
9	1	130.0	2	40	4	25	18000
3	2	39.2	0	32.3	2.4	12	10000
5	2 	55.3	29	39	5	17	6600
7	2	69.3	2	34	3	14.5	2300
9	2	81.9	1	34	3	14.5	1100
23	2	153.1	1	34	3	14.5	4000
7	3	52.9	1	37.5	3	14.5	3000
8	3	57.8	2	37.5	3	14.5	2300
10	3	67.1	1	37.5	3	14.5	1400
11	4	59.0	2	37.5	3.5	25	3900
15	4	72.5	2	37.5	3.5	25	2600
17	4	78.8	1	37.5	3.5	25	3100
27	4	107.3	1	37.5	3.5	25	5000
11	5	50.8	2	38	4	20	2100
12	5	53.9	2	38	4	20	2400
13	5	56.8	3	38	4	20	1200
24	5	85.5	1	38	4	20	2500
13	6	50.3	5	37.5	3.5	14.5	1700
23	6	73.6	1	37.5	3.5	14.5	1800
17	8	49.7	2	37.5	3.5	14.5	700
35	8	80.4	1	37.5	3.5	14.5	2600
