# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  34.976  0.112    4.377   31.059   38.753  162.785   23.679   7.77  0.00  3   37.783   23.643   7.73 0.72  4.84464  23.0789  3.29155 -0.44531 L3w-sm resonant  
  42.330  0.239    5.365   32.213   32.218  358.434   24.017   8.90  0.00  1   31.250   23.855   8.74 0.35  8.79488  18.4914  3.63949  1.10250 L7a-sm resonant  
  42.287  0.118    1.413   37.297   37.338    6.387   24.073   8.31  0.00  4   36.348   23.916   8.15 0.60 15.21980 -19.4343  3.10758  0.87273 L4k-sm resonant  
  42.140  0.197   12.263   33.838   35.235  332.512   24.682   9.18  0.00  2   34.258   24.438   8.94 0.08  2.33613  15.3715  3.27751 -1.32217 L4v-sm resonant  
  42.495  0.116   20.508   37.566   39.616  311.171   24.724   8.75  0.00  1   38.632   24.673   8.70 0.05  9.39456  17.2572  3.05976  1.21627 L5c-sm resonant  
  42.413  0.161    5.858   35.585   43.518   90.241   22.846   6.44  0.00  4   42.525   22.876   6.47 0.87 23.74033  -1.2463  2.65661 -1.20978 L3s-sm resonant  
  42.146  0.056    2.367   39.786   40.137   30.051   23.976   7.91  0.00  4   39.167   24.236   8.17 0.40  8.73644  18.0733  3.05307  0.85191 L7a-sm resonant  
  42.364  0.073    5.426   39.271   44.328  126.273   23.524   7.01 -0.80  4   43.342   24.887   8.37 0.80 21.92287 -12.3350  2.62842 -0.89703 presur resonant  
  42.422  0.258   28.101   31.477   39.330   59.397   24.139   8.17  0.00  4   38.353   24.467   8.50 0.52  9.08766  17.5182  3.10636  1.22890 L5c-sm resonant  
  55.350  0.418    0.850   32.214   33.927   13.140   23.050   7.67 -0.70  4   32.972   23.833   8.45 0.80 13.06754  -5.8766  3.10240  1.26042 L3h-sm resonant  
  55.500  0.285    6.120   39.683   42.048  336.837   23.521   7.27  0.00  3   41.038   23.447   7.20 0.52 19.70206 -21.4985  2.86154 -0.56326 L4n-sm resonant  
  55.556  0.457   20.085   30.167   30.317  356.635   23.883   9.02  0.00  2   29.329   23.740   8.88 0.35 16.11276 -21.5306  3.83477  0.33911 L5i-sm resonant  
  55.374  0.329   11.966   37.156   41.830   29.361   24.022   7.77  0.00  4   40.862   23.958   7.71 0.58  4.80077  22.8265  3.00754 -0.25041 L3w-sm resonant  
  55.226  0.428   26.817   31.589   32.561  350.458   23.571   8.46  0.00  4   31.561   23.676   8.56 0.75 23.97193  -0.0948  3.30859 -1.91019 L3s-sm resonant  
  55.431  0.437    7.292   31.208   45.546   43.055   23.847   7.21  0.00  4   44.564   24.057   7.42 0.67 15.08693 -18.4901  2.57058  0.81351 L4k-sm resonant  
  36.676  0.196    1.109   29.488   32.350   44.058   20.817   5.73  0.00  4   31.350   20.835   5.75 0.87 23.99347  -0.1689  3.51624 -1.50549 L3s-sm resonant  
  36.417  0.093    7.310   33.030   35.025  299.168   23.191   7.71  0.00  4   34.035   23.035   7.55 0.68 16.08900 -21.3365  3.41526  0.55936 L5i-sm resonant  
  36.462  0.144    8.266   31.211   32.272   32.133   23.532   8.41  0.00  2   31.273   23.132   8.01 0.41 19.55025 -23.1336  3.64214 -0.68348 L4o-sm resonant  
  36.522  0.160    5.109   30.678   31.857  328.503   23.259   8.16  0.00  4   30.886   23.142   8.04 0.81 14.92533 -18.0956  3.50732  1.00054 L4k-sm resonant  
  36.464  0.066    4.441   34.057   37.786  120.142   23.771   7.92 -0.70  1   36.834   24.431   8.58 0.34 12.95996  -8.7253  2.87131  1.30161 L3h-sm resonant  
  36.509  0.020    3.591   35.779   36.658  100.469   24.100   8.42  0.00  4   35.693   23.982   8.30 0.54  4.71343  23.2848  3.39855 -0.50778 L3w-sm resonant  
  36.690  0.127    2.105   32.030   32.087    7.929   23.452   8.34  0.00  4   31.130   23.556   8.44 0.71  9.01360  18.1257  3.64658  1.06669 L7a-sm resonant  
  36.508  0.118   23.651   32.200   33.737   44.832   23.208   7.94  0.00  4   32.737   23.112   7.84 0.85 23.95366   0.2726  3.31410 -1.79212 L3s-sm resonant  
  39.461  0.105   10.064   35.318   35.561  342.333   24.054   8.46  0.00  4   34.639   24.145   8.55 0.57  4.05675  22.1704  3.26421 -0.55118 L3w-sm resonant  
  39.498  0.185    9.820   32.191   40.716  270.838   23.573   7.42  0.00  4   39.738   23.628   7.47 0.50 19.01161 -21.8273  2.95515 -0.22860 L4n-sm resonant  
  39.326  0.212    9.653   30.989   42.457  100.825   23.124   6.84  0.00  4   41.459   23.285   7.00 0.85 23.89221  -0.7203  2.74522 -1.28362 L3s-sm resonant  
  39.347  0.195   20.770   31.674   33.364  328.267   23.228   7.95  0.00  4   32.379   23.166   7.89 0.82 13.49960  -9.0113  3.29589  1.61724 L4h-sm resonant  
  39.297  0.218   18.777   30.730   30.791  354.774   22.910   7.95  0.00  4   29.820   22.897   7.94 0.63 16.01280 -20.3359  3.60195  1.04312 L5j-sm resonant  
  39.306  0.176   14.749   32.388   36.963  299.262   24.873   9.16  0.00  1   35.987   24.479   8.77 0.01  2.33245  13.5526  3.28565 -0.94260 L4v-sm resonant  
  39.326  0.224   22.740   30.517   31.018  344.871   23.801   8.85  0.00  4   30.024   23.825   8.87 0.69 15.29363 -19.6369  3.64736  1.38765 L4k-sm resonant  
  39.590  0.182   19.847   32.385   42.239  101.912   24.163   7.91  0.00  4   41.231   24.256   8.00 0.46 21.65799 -15.2126  2.81557 -1.15036 L4q-sm resonant  
  39.593  0.262   18.148   29.220   31.721  329.147   23.867   8.80  0.00  3   30.744   23.928   8.86 0.53 15.15800 -16.2135  3.67590  0.76310 L4j-sm resonant  
  39.257  0.183    2.949   32.073   33.845   34.207   23.821   8.51  0.00  4   32.869   23.777   8.47 0.67  5.04675  22.5973  3.69934 -0.32108 L3w-sm resonant  
  39.534  0.153   16.658   33.485   34.497   28.734   23.526   8.10  0.00  2   33.509   23.658   8.23 0.38 16.31138 -19.7457  3.38768  0.78739 L5j-sm resonant  
  39.493  0.263   18.640   29.106   37.627  295.182   24.462   8.67  0.00  2   36.663   24.455   8.66 0.15  4.70877  23.2932  3.38824 -0.25716 L3w-sm resonant  
  39.587  0.202   24.152   31.590   32.659  335.844   23.842   8.69  0.00  3   31.683   23.643   8.49 0.66  5.02769  22.6499  3.91127 -0.03052 L3w-sm resonant  
  39.258  0.186   24.961   31.956   33.662  326.846   24.362   9.08  0.00  4   32.680   23.996   8.71 0.44  2.47867  15.0126  3.46581 -1.53012 L4v-sm resonant  
  39.321  0.208   20.353   31.142   31.999   21.136   23.766   8.71  0.00  1   31.008   23.587   8.53 0.38 12.59922  -3.6838  3.69775  1.23605 L3f-sm resonant  
  39.271  0.233    7.536   30.121   38.487  288.231   23.893   7.99  0.00  4   37.509   23.975   8.07 0.57 13.42232  -7.6499  2.94675  1.24289 L4h-sm resonant  
  39.529  0.131   17.574   34.351   34.948   24.268   23.219   7.75  0.00  4   33.961   23.334   7.86 0.78 14.98493 -15.9208  3.27480  1.22512 L4j-sm resonant  
  39.592  0.218    0.522   30.961   31.385  345.856   24.074   9.04  0.00  3   30.439   23.993   8.96 0.55  4.39823  21.4036  3.73114 -0.61580 L3w-sm resonant  
  39.483  0.153   13.651   33.442   34.272  334.069   23.541   8.15  0.00  4   33.306   23.607   8.22 0.75  4.74733  23.3910  3.58212 -0.67039 L3w-sm resonant  
  39.342  0.181   19.273   32.221   40.234   86.885   23.857   7.76  0.00  2   39.255   24.011   7.91 0.38 16.29099 -21.9357  2.97459  0.70315 L5i-sm resonant  
  39.257  0.219    0.446   30.660   32.002  334.286   22.979   7.86 -0.70  4   31.039   23.722   8.60 0.81 13.15979  -6.8938  3.36995  1.37263 L3h-sm resonant  
  39.501  0.284   16.973   28.283   35.541  305.902   23.456   7.87 -0.70  4   34.590   24.298   8.71 0.64 12.97342  -7.2010  3.15156  1.10827 L3h-sm resonant  
  39.421  0.202    7.448   31.458   32.210   20.174   24.106   8.96  0.00  4   31.237   24.027   8.88 0.58 14.96869 -17.4804  3.41649  1.14477 L4k-sm resonant  
  39.649  0.248   26.242   29.816   30.227  347.488   22.468   7.59  0.00  4   29.255   22.496   7.62 0.71 16.02601 -20.4239  3.86538  0.30916 L5j-sm resonant  
  39.570  0.167   16.992   32.962   32.979  356.269   23.584   8.39  0.00  4   31.996   23.553   8.36 0.76  2.56725  13.5939  3.53327 -1.40801 L4v-sm resonant  
  39.437  0.255    6.381   29.381   33.232   40.389   22.708   7.45  0.00  4   32.238   22.707   7.45 0.67 16.42889 -19.5248  3.53898  0.62639 L5j-sm resonant  
  39.267  0.202   14.379   31.335   32.328  336.664   23.853   8.71  0.00  4   31.343   24.089   8.95 0.59 13.53335  -8.3429  3.39620  1.55498 L4h-sm resonant  
  39.283  0.213   16.128   30.916   33.191   34.905   24.165   8.90  0.00  2   32.219   24.090   8.82 0.19 15.20378 -18.0183  3.50934  0.72089 L4j-sm resonant  
  39.465  0.157    7.454   33.269   38.602   73.065   23.404   7.49  0.00  4   37.618   23.535   7.62 0.62 16.20334 -21.0575  3.08307  0.64959 L5i-sm resonant  
  43.694  0.212    4.074   34.431   34.542    7.155   23.951   8.55  0.00  4   33.544   24.115   8.71 0.52 22.04236 -10.2501  3.28504 -1.17862 L3q-sm resonant  
  43.676  0.149    0.525   37.168   40.408   52.512   23.895   7.83  0.00  4   39.401   23.719   7.65 0.67 21.56860 -14.6551  2.91798 -0.98924 L4q-sm resonant  
  43.677  0.107    6.960   39.004   44.751  262.633   24.649   8.11  0.00  2   43.757   24.563   8.02 0.00 21.20975 -15.8318  2.63708 -0.88453 L4q-sm resonant  
  43.721  0.150    1.264   37.163   37.570  342.709   22.602   6.84  0.00  4   36.581   22.802   7.04 0.90 12.62174  -4.7978  3.04191  1.30460 L3f-sm resonant  
  43.673  0.199    0.428   34.982   35.157  350.798   24.304   8.79  0.00  2   34.203   24.475   8.96 0.34  4.52405  21.6748  3.41349 -0.50833 L3w-sm resonant  
  43.766  0.087   11.962   39.958   40.521  331.073   23.223   7.09 -0.70  4   39.553   24.238   8.10 0.75 13.18740  -8.4992  2.71530  1.26302 L3h-sm resonant  
  52.976  0.342   16.612   34.858   35.903  347.013   24.257   8.68  0.00  3   34.902   23.966   8.39 0.49 15.45642 -20.2414  3.20165  1.06412 L4k-sm resonant  
  53.197  0.345    8.167   34.844   42.053   36.905   24.085   7.80  0.00  4   41.069   24.458   8.17 0.59 15.14091 -18.2329  2.74732  0.86756 L4k-sm resonant  
  53.126  0.202   25.164   42.395   43.101   16.810   23.527   7.12 -0.80  3   42.123   24.793   8.39 0.80 22.06586 -13.0222  2.72126 -0.76422 presur resonant  
  53.147  0.352    1.640   34.439   40.232  328.258   24.167   8.06  0.00  1   39.256   24.004   7.90 0.05 16.32655 -23.0816  2.90580  0.47312 L5i-sm resonant  
  62.487  0.323    5.962   42.304   44.125  343.139   23.687   7.18  0.00  4   43.158   23.784   7.28 0.68 23.26843  -4.1415  2.50768 -1.00825 L3s-sm resonant  
  47.943  0.362    5.598   30.588   32.660  341.544   23.877   8.66  0.00  3   31.701   23.925   8.71 0.52 15.41852 -17.3126  3.37683  0.81299 L4j-sm resonant  
  47.962  0.144   20.411   41.055   41.806  336.798   23.591   7.36  0.00  3   40.817   23.507   7.28 0.59 12.66184  -3.0114  2.71300  1.39125 L3f-sm resonant  
  47.680  0.181    8.002   39.050   45.842  292.417   23.598   6.95  0.00  4   44.873   23.493   6.85 0.66  8.48030  19.8428  2.71430  0.75040 L7a-sm resonant  
  47.886  0.223    2.742   37.207   38.848   25.397   23.660   7.74  0.00  4   37.844   24.130   8.21 0.39 18.96857 -23.5979  3.10324 -0.28898 L4m-sm resonant  
  47.783  0.125    4.357   41.810   41.867  353.119   23.842   7.55 -0.70  2   40.913   24.402   8.11 0.25 13.01663  -7.3535  2.58760  1.13980 L3h-sm resonant  
  47.914  0.357    6.395   30.809   32.456   16.586   23.318   8.12  0.00  4   31.532   23.540   8.34 0.80  4.07204  22.2777  3.46813 -0.62070 L3w-sm resonant  
  47.786  0.131    2.211   41.526   43.438   40.605   23.136   6.69 -0.70  4   42.479   23.696   7.25 0.77 13.14517  -5.5757  2.57049  1.01033 L3h-sm resonant  
