#   a      e        i        q        r        M      m_rand H_rand color Comments
  42.287  0.118    1.413   37.297   37.338    6.387   24.073   8.31  0.00 resonant  
  42.413  0.161    5.858   35.585   43.518   90.241   22.846   6.44  0.00 resonant  
  42.146  0.056    2.367   39.786   40.137   30.051   23.976   7.91  0.00 resonant  
  42.364  0.073    5.426   39.271   44.328  126.273   23.524   7.01 -0.80 resonant  
  42.422  0.258   28.101   31.477   39.330   59.397   24.139   8.17  0.00 resonant  
  55.350  0.418    0.850   32.214   33.927   13.140   23.050   7.67 -0.70 resonant  
  55.374  0.329   11.966   37.156   41.830   29.361   24.022   7.77  0.00 resonant  
  55.226  0.428   26.817   31.589   32.561  350.458   23.571   8.46  0.00 resonant  
  55.431  0.437    7.292   31.208   45.546   43.055   23.847   7.21  0.00 resonant  
  36.676  0.196    1.109   29.488   32.350   44.058   20.817   5.73  0.00 resonant  
  36.417  0.093    7.310   33.030   35.025  299.168   23.191   7.71  0.00 resonant  
  36.522  0.160    5.109   30.678   31.857  328.503   23.259   8.16  0.00 resonant  
  36.509  0.020    3.591   35.779   36.658  100.469   24.100   8.42  0.00 resonant  
  36.690  0.127    2.105   32.030   32.087    7.929   23.452   8.34  0.00 resonant  
  36.508  0.118   23.651   32.200   33.737   44.832   23.208   7.94  0.00 resonant  
  39.461  0.105   10.064   35.318   35.561  342.333   24.054   8.46  0.00 resonant  
  39.498  0.185    9.820   32.191   40.716  270.838   23.573   7.42  0.00 resonant  
  39.326  0.212    9.653   30.989   42.457  100.825   23.124   6.84  0.00 resonant  
  39.347  0.195   20.770   31.674   33.364  328.267   23.228   7.95  0.00 resonant  
  39.297  0.218   18.777   30.730   30.791  354.774   22.910   7.95  0.00 resonant  
  39.326  0.224   22.740   30.517   31.018  344.871   23.801   8.85  0.00 resonant  
  39.590  0.182   19.847   32.385   42.239  101.912   24.163   7.91  0.00 resonant  
  39.257  0.183    2.949   32.073   33.845   34.207   23.821   8.51  0.00 resonant  
  39.258  0.186   24.961   31.956   33.662  326.846   24.362   9.08  0.00 resonant  
  39.271  0.233    7.536   30.121   38.487  288.231   23.893   7.99  0.00 resonant  
  39.529  0.131   17.574   34.351   34.948   24.268   23.219   7.75  0.00 resonant  
  39.483  0.153   13.651   33.442   34.272  334.069   23.541   8.15  0.00 resonant  
  39.257  0.219    0.446   30.660   32.002  334.286   22.979   7.86 -0.70 resonant  
  39.501  0.284   16.973   28.283   35.541  305.902   23.456   7.87 -0.70 resonant  
  39.421  0.202    7.448   31.458   32.210   20.174   24.106   8.96  0.00 resonant  
  39.649  0.248   26.242   29.816   30.227  347.488   22.468   7.59  0.00 resonant  
  39.570  0.167   16.992   32.962   32.979  356.269   23.584   8.39  0.00 resonant  
  39.437  0.255    6.381   29.381   33.232   40.389   22.708   7.45  0.00 resonant  
  39.267  0.202   14.379   31.335   32.328  336.664   23.853   8.71  0.00 resonant  
  39.465  0.157    7.454   33.269   38.602   73.065   23.404   7.49  0.00 resonant  
  43.694  0.212    4.074   34.431   34.542    7.155   23.951   8.55  0.00 resonant  
  43.676  0.149    0.525   37.168   40.408   52.512   23.895   7.83  0.00 resonant  
  43.721  0.150    1.264   37.163   37.570  342.709   22.602   6.84  0.00 resonant  
  43.766  0.087   11.962   39.958   40.521  331.073   23.223   7.09 -0.70 resonant  
  53.197  0.345    8.167   34.844   42.053   36.905   24.085   7.80  0.00 resonant  
  62.487  0.323    5.962   42.304   44.125  343.139   23.687   7.18  0.00 resonant  
  47.680  0.181    8.002   39.050   45.842  292.417   23.598   6.95  0.00 resonant  
  47.886  0.223    2.742   37.207   38.848   25.397   23.660   7.74  0.00 resonant  
  47.914  0.357    6.395   30.809   32.456   16.586   23.318   8.12  0.00 resonant  
  47.786  0.131    2.211   41.526   43.438   40.605   23.136   6.69 -0.70 resonant  
  37.306  0.018    7.357   36.635   37.890  149.612   23.840   8.00  0.00 h         
  38.699  0.028    4.534   37.611   37.916  316.987   22.967   7.15  0.00 h         
  37.184  0.007   19.141   36.938   37.293  243.193   23.622   7.86 -0.80 h         
  37.411  0.041    2.136   35.889   36.262  320.603   23.699   8.07  0.00 h         
  44.883  0.031    4.594   43.496   44.267   62.163   24.215   7.76  0.00 f         
  45.710  0.106    0.873   40.856   41.923   34.870   24.300   8.05  0.00 f         
  44.915  0.015    0.577   44.224   44.923  270.394   24.224   7.65  0.00 f         
  45.066  0.071    2.836   41.852   46.739  242.112   23.410   6.65  0.00 f         
  43.792  0.081    5.941   40.245   41.757   51.161   22.751   6.48 -0.70 f         
  40.549  0.093   40.982   36.782   38.900   59.246   23.817   7.85  0.00 h         
  43.704  0.058    1.050   41.191   45.601  136.950   23.321   6.67 -0.80 f         
  43.400  0.039    4.386   41.690   41.731  347.677   23.613   7.39  0.00 f         
  43.926  0.068   15.634   40.944   43.725  277.696   23.571   7.18  0.00 h         
  43.069  0.073    1.524   39.912   42.652  281.794   23.841   7.51  0.00 f         
  45.829  0.213   16.839   36.068   47.215   86.073   22.123   5.33  0.00 h         
  40.302  0.107   14.424   35.974   38.785   63.701   24.132   8.19  0.00 h         
  44.375  0.032    6.350   42.937   43.215   35.005   24.131   7.73  0.00 c         
  43.432  0.039    3.125   41.746   43.597   93.302   23.675   7.27  0.00 f         
  46.494  0.034    3.266   44.904   45.249   37.157   23.691   7.08  0.00 f         
  46.743  0.117    4.694   41.270   43.776  308.496   23.593   7.13  0.00 f         
  43.755  0.086    4.155   40.005   42.964  287.020   23.313   6.97  0.00 f         
  45.014  0.019    2.119   44.168   44.176  354.107   24.041   7.59  0.00 f         
  46.817  0.166    1.324   39.050   39.951  336.585   23.861   7.78  0.00 f         
  43.112  0.075    4.092   39.875   44.628  114.097   22.934   6.37 -0.70 f         
  45.355  0.178   11.509   37.286   37.559  347.691   22.616   6.80 -0.70 h         
  46.112  0.127    1.266   40.279   49.971  126.007   23.874   6.85  0.00 h         
  44.099  0.067    3.949   41.126   44.521   94.315   23.759   7.26  0.00 c         
  43.920  0.069    2.915   40.889   40.991  345.920   23.041   6.85 -0.80 c         
  43.002  0.026    1.769   41.896   42.436   57.801   23.731   7.41  0.00 f         
  44.358  0.048    2.244   42.228   46.486  177.630   22.840   6.10 -0.70 f         
  43.148  0.020    3.352   42.298   42.968   76.407   23.076   6.75  0.00 f         
  46.714  0.043    1.378   44.696   44.780  343.787   23.684   7.12  0.00 f         
  45.522  0.126    3.566   39.809   45.154  280.877   23.689   7.08 -0.70 f         
  42.647  0.035    0.516   41.133   41.147  353.366   23.484   7.29  0.00 f         
  44.081  0.067    1.487   41.127   41.143  354.556   24.068   7.88  0.00 c         
  44.448  0.170   38.099   36.910   37.243  345.690   23.124   7.36  0.00 h         
  44.282  0.077    6.277   40.890   41.022  344.983   23.268   7.09  0.00 c         
  45.222  0.132    4.034   39.234   43.067   61.794   24.254   7.92  0.00 f         
  45.316  0.145    0.638   38.759   39.349  338.884   23.895   7.90  0.00 f         
  43.834  0.098    2.606   39.534   39.535  358.034   22.953   6.95  0.00 f         
  43.990  0.083   13.825   40.334   41.100  325.095   23.595   7.44  0.00 h         
  43.991  0.073    3.270   40.788   45.439  246.869   24.022   7.41  0.00 c         
  45.674  0.137    1.860   39.421   39.421   -1.433   23.461   7.44 -0.80 f         
  44.296  0.134   12.524   38.347   39.500  328.220   23.766   7.77  0.00 h         
  43.129  0.031    2.316   41.783   44.440  166.547   23.398   6.85 -0.70 f         
  42.506  0.020    2.253   41.643   41.644    6.098   23.402   7.17  0.00 f         
  44.178  0.011    2.912   43.679   44.056  285.002   23.793   7.30  0.00 f         
  42.747  0.034    1.001   41.298   42.509  281.476   22.861   6.54  0.00 f         
  46.703  0.065    1.482   43.667   44.015  333.915   24.378   7.91  0.00 f         
  43.177  0.063    1.327   40.466   44.436  114.440   23.015   6.47 -0.70 f         
  44.677  0.018    3.011   43.859   45.003  112.453   23.829   7.26  0.00 f         
  43.091  0.023    2.897   42.091   43.680  235.032   24.227   7.79  0.00 f         
  42.633  0.028   32.043   41.439   42.604  272.768   23.836   7.52  0.00 h         
  42.982  0.055    0.286   40.601   44.721  134.786   23.951   7.41  0.00 f         
  43.593  0.022    0.674   42.638   43.489  277.253   23.835   7.41  0.00 f         
  42.505  0.044    2.289   40.614   40.919  328.214   23.623   7.47  0.00 f         
  43.549  0.041    1.038   41.746   43.580  271.298   23.849   7.42  0.00 f         
  44.528  0.091    4.467   40.485   40.538  351.602   24.095   7.99  0.00 f         
  45.517  0.109    1.975   40.560   42.838   52.080   22.925   6.56 -0.80 f         
